CODE,자재비 기준,노무비 기준,DESCRIPTION,SIZE,UNIT,Q'TY, MATERIAL COST ,, LABOR COST ,, EQUIPMENT COST ,, TOTAL  , REMARKS 
,,,,,,, UNIT , AMOUNT , UNIT , AMOUNT , UNIT , AMOUNT , AMOUNT ,
CONSH42,납품업체단가,전-5-29,SEALING FITTING(HORIZONTAL) CAST IRON W/H.D.G Ex d IIC,"42mm (11/2"")",EA,1,9860,9860,21894,21894,,,31754,FORM 7
CONSH54,납품업체단가,전-5-29,SEALING FITTING(HORIZONTAL) CAST IRON W/H.D.G Ex d IIC,"54mm (2"")",EA,1,13600,13600,21894,21894,,,35494,FORM 7
CONSH70,납품업체단가,전-5-29,SEALING FITTING(HORIZONTAL) CAST IRON W/H.D.G Ex d IIC,"70mm (21/2"")",EA,1,25800,25800,32841,32841,,,58641,FORM 7
CONSH82,납품업체단가,전-5-29,SEALING FITTING(HORIZONTAL) CAST IRON W/H.D.G Ex d IIC,"82mm (3"")",EA,1,32550,32550,32841,32841,,,65391,FORM 7
CONSH104,납품업체단가,전-5-29,SEALING FITTING(HORIZONTAL) CAST IRON W/H.D.G Ex d IIC,"104mm (4"")",EA,1,44660,44660,32841,32841,,,77501,FORM 7
CONDS16,납품업체단가,전-5-29,DRAIN SEALING FITTING CAST IRON W/H.D.G Ex d IIC,"16mm (1/2"")",EA,1,6920,6920,10947,10947,,,17867,FORM 7
CONDS22,납품업체단가,전-5-29,DRAIN SEALING FITTING CAST IRON W/H.D.G Ex d IIC,"22mm (3/4"")",EA,1,7830,7830,10947,10947,,,18777,FORM 7
CONDS28,납품업체단가,전-5-29,DRAIN SEALING FITTING CAST IRON W/H.D.G Ex d IIC,"28mm (1"")",EA,1,9350,9350,10947,10947,,,20297,FORM 7
CONDS36,납품업체단가,전-5-29,DRAIN SEALING FITTING CAST IRON W/H.D.G Ex d IIC,"36mm (11/4"")",EA,1,11320,11320,10947,10947,,,22267,FORM 7
CONDS42,납품업체단가,전-5-29,DRAIN SEALING FITTING CAST IRON W/H.D.G Ex d IIC,"42mm (11/2"")",EA,1,14210,14210,21894,21894,,,36104,FORM 7
CONDS54,납품업체단가,전-5-29,DRAIN SEALING FITTING CAST IRON W/H.D.G Ex d IIC,"54mm (2"")",EA,1,18430,18430,21894,21894,,,40324,FORM 7
CONDS70,납품업체단가,전-5-29,DRAIN SEALING FITTING CAST IRON W/H.D.G Ex d IIC,"70mm (21/2"")",EA,1,31600,31600,32841,32841,,,64441,FORM 7
CONDS82,납품업체단가,전-5-29,DRAIN SEALING FITTING CAST IRON W/H.D.G Ex d IIC,"82mm (3"")",EA,1,37610,37610,32841,32841,,,70451,FORM 7
CONDS104,납품업체단가,전-5-29,DRAIN SEALING FITTING CAST IRON W/H.D.G Ex d IIC,"104mm (4"")",EA,1,52760,52760,32841,32841,,,85601,FORM 7
CONDRB16,납품업체단가,전-5-3,ROUND JUNCTION BOX CASST IRON W/H.D.G Ex d IIC,"16mm (1/2"")",EA,1,13260,13260,54735,54735,,,67995,FORM 7
